2026-03-09 06:40:46,583 [INFO] Login...
2026-03-09 06:41:22,829 [WARNING] FAIL 2026-01-27 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,831 [WARNING] FAIL 2026-01-28 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,831 [WARNING] FAIL 2026-01-28 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,838 [WARNING] FAIL 2026-01-28 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,838 [WARNING] FAIL 2026-01-29 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,838 [WARNING] FAIL 2026-01-29 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,848 [WARNING] FAIL 2026-01-29 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,850 [WARNING] FAIL 2026-01-30 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,853 [WARNING] FAIL 2026-01-30 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,853 [WARNING] FAIL 2026-01-30 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,858 [WARNING] FAIL 2026-01-31 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,861 [WARNING] FAIL 2026-01-31 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,862 [WARNING] FAIL 2026-01-31 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,865 [WARNING] FAIL 2026-02-01 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,868 [WARNING] FAIL 2026-02-01 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,869 [WARNING] FAIL 2026-02-01 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,872 [WARNING] FAIL 2026-02-02 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,877 [WARNING] FAIL 2026-02-02 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,880 [WARNING] FAIL 2026-02-02 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,884 [WARNING] FAIL 2026-02-03 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,886 [WARNING] FAIL 2026-02-03 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,889 [WARNING] FAIL 2026-02-03 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,892 [WARNING] FAIL 2026-02-04 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,893 [WARNING] FAIL 2026-02-04 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,897 [WARNING] FAIL 2026-02-04 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,899 [WARNING] FAIL 2026-02-05 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,903 [WARNING] FAIL 2026-02-05 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,905 [WARNING] FAIL 2026-02-05 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,908 [WARNING] FAIL 2026-02-06 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,912 [WARNING] FAIL 2026-02-06 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,913 [WARNING] FAIL 2026-02-06 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,916 [WARNING] FAIL 2026-02-07 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,918 [WARNING] FAIL 2026-02-07 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,921 [WARNING] FAIL 2026-02-07 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,925 [WARNING] FAIL 2026-02-08 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,926 [WARNING] FAIL 2026-02-08 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,928 [WARNING] FAIL 2026-02-08 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,932 [WARNING] FAIL 2026-02-09 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,935 [WARNING] FAIL 2026-02-09 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,937 [WARNING] FAIL 2026-02-09 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,939 [WARNING] FAIL 2026-02-10 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,941 [WARNING] FAIL 2026-02-10 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,944 [WARNING] FAIL 2026-02-10 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,946 [WARNING] FAIL 2026-02-11 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,949 [WARNING] FAIL 2026-02-11 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,951 [WARNING] FAIL 2026-02-11 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,954 [WARNING] FAIL 2026-02-12 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,956 [WARNING] FAIL 2026-02-12 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,956 [WARNING] FAIL 2026-02-12 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,963 [WARNING] FAIL 2026-02-13 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,965 [WARNING] FAIL 2026-02-13 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,968 [WARNING] FAIL 2026-02-13 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,971 [WARNING] FAIL 2026-02-14 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,973 [WARNING] FAIL 2026-02-14 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,975 [WARNING] FAIL 2026-02-14 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,979 [WARNING] FAIL 2026-02-15 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,982 [WARNING] FAIL 2026-02-15 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,983 [WARNING] FAIL 2026-02-15 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,987 [WARNING] FAIL 2026-02-16 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,989 [WARNING] FAIL 2026-02-16 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,992 [WARNING] FAIL 2026-02-16 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,995 [WARNING] FAIL 2026-02-17 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,997 [WARNING] FAIL 2026-02-17 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,000 [WARNING] FAIL 2026-02-17 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,003 [WARNING] FAIL 2026-02-18 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,004 [WARNING] FAIL 2026-02-18 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,008 [WARNING] FAIL 2026-02-18 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,010 [WARNING] FAIL 2026-02-19 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,014 [WARNING] FAIL 2026-02-19 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,015 [WARNING] FAIL 2026-02-19 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,017 [WARNING] FAIL 2026-02-20 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,018 [WARNING] FAIL 2026-02-20 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,022 [WARNING] FAIL 2026-02-20 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,025 [WARNING] FAIL 2026-02-21 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,028 [WARNING] FAIL 2026-02-21 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,030 [WARNING] FAIL 2026-02-21 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,032 [WARNING] FAIL 2026-02-22 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,036 [WARNING] FAIL 2026-02-22 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,038 [WARNING] FAIL 2026-02-22 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,042 [WARNING] FAIL 2026-02-23 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,044 [WARNING] FAIL 2026-02-23 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,046 [WARNING] FAIL 2026-02-23 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,046 [WARNING] FAIL 2026-02-24 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,052 [WARNING] FAIL 2026-02-24 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,055 [WARNING] FAIL 2026-02-24 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,057 [WARNING] FAIL 2026-02-25 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,061 [WARNING] FAIL 2026-02-25 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,064 [WARNING] FAIL 2026-02-25 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,067 [WARNING] FAIL 2026-02-26 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,070 [WARNING] FAIL 2026-02-26 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,073 [WARNING] FAIL 2026-02-26 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,077 [WARNING] FAIL 2026-02-27 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,079 [WARNING] FAIL 2026-02-27 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,083 [WARNING] FAIL 2026-02-27 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,086 [WARNING] FAIL 2026-02-28 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:23,088 [WARNING] FAIL 2026-02-28 attempt 2: Page.goto: Target page, context or browser has been closed
